strategy,repeat,fold,n_train,n_test,lambda_mean_train,lambda_mean_test,test_class_0,test_class_1,test_class_2,test_class_3,test_class_4,test_class_5,test_class_6,test_class_7,test_class_8,test_class_9
B_RepeatedStratifiedKFold,0,0,4672,1168,1541.5372269171664,1541.6030832208905,83,201,334,14,241,86,38,112,43,16
B_RepeatedStratifiedKFold,0,1,4672,1168,1541.555702202055,1541.5291820813359,83,201,335,14,240,87,37,112,43,16
B_RepeatedStratifiedKFold,0,2,4672,1168,1541.557116904324,1541.5235232722603,83,201,334,15,240,87,38,111,43,16
B_RepeatedStratifiedKFold,0,3,4672,1168,1541.5710871085191,1541.4676424554798,84,201,334,14,240,87,38,111,43,16
B_RepeatedStratifiedKFold,0,4,4672,1168,1541.5308577574915,1541.6285598595891,83,201,334,14,240,87,38,111,44,16
B_RepeatedStratifiedKFold,1,0,4672,1168,1541.5399685610018,1541.592116645548,83,201,334,14,241,86,38,112,43,16
B_RepeatedStratifiedKFold,1,1,4672,1168,1541.54474106036,1541.5730266481166,83,201,335,14,240,87,37,112,43,16
B_RepeatedStratifiedKFold,1,2,4672,1168,1541.5854146943495,1541.4103321121577,83,201,334,15,240,87,38,111,43,16
B_RepeatedStratifiedKFold,1,3,4672,1168,1541.5550145881853,1541.5319325368152,84,201,334,14,240,87,38,111,43,16
B_RepeatedStratifiedKFold,1,4,4672,1168,1541.5268519856593,1541.644582946918,83,201,334,14,240,87,38,111,44,16
B_RepeatedStratifiedKFold,2,0,4672,1168,1541.5474395374574,1541.5622327397261,83,201,334,14,241,86,38,112,43,16
B_RepeatedStratifiedKFold,2,1,4672,1168,1541.539537134418,1541.593842351884,83,201,335,14,240,87,37,112,43,16
B_RepeatedStratifiedKFold,2,2,4672,1168,1541.5578809916526,1541.5204669229454,83,201,334,15,240,87,38,111,43,16
B_RepeatedStratifiedKFold,2,3,4672,1168,1541.5537873311216,1541.5368415650687,84,201,334,14,240,87,38,111,43,16
B_RepeatedStratifiedKFold,2,4,4672,1168,1541.553345894906,1541.5386073099316,83,201,334,14,240,87,38,111,44,16
B_RepeatedStratifiedKFold,3,0,4672,1168,1541.5679242836045,1541.4802937551374,83,201,334,14,241,86,38,112,43,16
B_RepeatedStratifiedKFold,3,1,4672,1168,1541.5488783878427,1541.5564773381852,83,201,335,14,240,87,37,112,43,16
B_RepeatedStratifiedKFold,3,2,4672,1168,1541.5571536943496,1541.5233761121578,83,201,334,15,240,87,38,111,43,16
B_RepeatedStratifiedKFold,3,3,4672,1168,1541.5304258071492,1541.6302876609593,84,201,334,14,240,87,38,111,43,16
B_RepeatedStratifiedKFold,3,4,4672,1168,1541.5476087166098,1541.5615560231165,83,201,334,14,240,87,38,111,44,16
B_RepeatedStratifiedKFold,4,0,4672,1168,1541.5430723127142,1541.579701638699,83,201,334,14,241,86,38,112,43,16
B_RepeatedStratifiedKFold,4,1,4672,1168,1541.5474152108306,1541.562330046233,83,201,335,14,240,87,37,112,43,16
B_RepeatedStratifiedKFold,4,2,4672,1168,1541.5453399663957,1541.5706310239727,83,201,334,15,240,87,38,111,43,16
B_RepeatedStratifiedKFold,4,3,4672,1168,1541.5655881247862,1541.4896383904113,84,201,334,14,240,87,38,111,43,16
B_RepeatedStratifiedKFold,4,4,4672,1168,1541.550575274829,1541.5496897902399,83,201,334,14,240,87,38,111,44,16
