fold,classifier,best_inner_accuracy,n_candidates,seconds,accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted
0,kNN,0.9111750898464264,8,18.030247500166297,0.9075342465753424,0.8662023869059056,0.7993352305019812,0.8134334141750429,0.9026186228288344,0.9075342465753424,0.9013085859063188
0,SVM,0.9325785601431716,6,18.106332200113684,0.9297945205479452,0.9063447231564788,0.8485636287128404,0.8651571561970736,0.9273514895000692,0.9297945205479452,0.9247627174419236
0,MLP,0.9086059094035824,6,33.435764299938455,0.9101027397260274,0.8738289314381824,0.7799232289150227,0.776402028772825,0.913341747846436,0.9101027397260274,0.8955076313390959
0,RandomForest,0.924658580831828,12,66.17728869989514,0.925513698630137,0.9026078197782376,0.8372637404905131,0.8546319345050761,0.9219379544162872,0.925513698630137,0.920124246206331
0,MQ,0.7786840057833699,5,0.1587505000643432,0.7756849315068494,0.6456298798458018,0.5859768901550313,0.5613297269637086,0.7600324047148267,0.7756849315068494,0.733634990133462
1,kNN,0.9066780278389944,8,1.0251736000645906,0.9041095890410958,0.8997124398945147,0.8249907489456826,0.8448320836784445,0.9025544007941628,0.9041095890410958,0.8988905105280545
1,SVM,0.927225150458583,6,7.609124300070107,0.9357876712328768,0.9391784118050222,0.8609111145953193,0.880630475797901,0.9378016762853972,0.9357876712328768,0.9306071359105964
1,MLP,0.912458786893923,6,17.616781000047922,0.9041095890410958,0.9198990038904375,0.7937918950333455,0.8091960524092421,0.9126997385399688,0.9041095890410958,0.893843108072998
1,RandomForest,0.9233726852023616,12,40.310956300003454,0.928082191780822,0.9138521706659584,0.8561545474463831,0.8751015543230036,0.927602761261437,0.928082191780822,0.9248763563752966
1,MQ,0.7799677028308666,5,0.1922526999842375,0.7851027397260274,0.6552366012610934,0.6006994663816926,0.5881791954283262,0.7665183779051278,0.7851027397260274,0.7456723417943453
2,kNN,0.90860535975809,8,0.9730092999525368,0.910958904109589,0.8855232464289342,0.8095961392293052,0.827683730268979,0.9069541231066772,0.910958904109589,0.9041531608515132
2,SVM,0.9287254078300848,6,7.053632300114259,0.9375,0.9339534211452106,0.8488405816510131,0.8608696942961543,0.9405599083129406,0.9375,0.9286598530981112
2,MLP,0.9145974575048458,6,14.778745000017809,0.9289383561643836,0.9485418267993176,0.8134498780126556,0.8297134466175076,0.9380576898275104,0.9289383561643836,0.9179533948872686
2,RandomForest,0.927012575064398,12,34.240321499994025,0.925513698630137,0.909238545420832,0.8183214906253353,0.8346054009301553,0.9248486118517556,0.925513698630137,0.9174182539872844
2,MQ,0.7821095339033706,5,0.1258283001370728,0.7679794520547946,0.6473984892642436,0.5695064732367691,0.5460196595774105,0.7493188986831453,0.7679794520547946,0.7191379687863706
3,kNN,0.9105300808610968,8,1.0949122000019995,0.9032534246575342,0.8631171061901629,0.8274188607716699,0.8366063740553852,0.8980125615217516,0.9032534246575342,0.8976414860713259
3,SVM,0.9340757944644652,6,9.041323899989948,0.9289383561643836,0.9056677061278018,0.8583570710524719,0.8651542936607953,0.9273710432753096,0.9289383561643836,0.9218943733905308
3,MLP,0.9188785088337648,6,23.411940099904317,0.9246575342465754,0.8599781036011738,0.851737873829839,0.8407531098138538,0.9150461957282672,0.9246575342465754,0.9138981330564442
3,RandomForest,0.9240149459602292,12,35.80180840007961,0.9323630136986302,0.8975651909989869,0.875988318743078,0.8791402975917008,0.9299901451903172,0.9323630136986302,0.9281629546755108
3,MQ,0.7773971482742917,5,0.1535376000683754,0.7851027397260274,0.6580487882753713,0.6143508933135318,0.6034163489639868,0.7656397743675565,0.7851027397260274,0.7431353381406485
4,kNN,0.9034685103975064,8,0.829074899898842,0.9083904109589042,0.8558293621026365,0.8174841117360163,0.8258575392629876,0.9015085516849624,0.9083904109589042,0.9014150699909204
4,SVM,0.9285132446700192,6,6.119247999973595,0.9383561643835616,0.9306419766080902,0.8462432156000341,0.859449302240441,0.9408473772678224,0.9383561643835616,0.9299512740429464
4,MLP,0.9175965981341184,6,20.2525041999761,0.928082191780822,0.8933156608589838,0.8268929398056659,0.8380988281254627,0.9214479082773872,0.928082191780822,0.9181159776295372
4,RandomForest,0.9250864798476602,12,48.673859199974686,0.9332191780821918,0.9031940234176188,0.8324996244661129,0.843211305584744,0.9321003032973666,0.9332191780821918,0.9243108059886156
4,MQ,0.7799678402422398,5,0.1626879000104963,0.7799657534246576,0.663397975064138,0.6103322038283668,0.600397433382172,0.770829629083873,0.7799657534246576,0.7381832751478578
0,AdaBoost,0.9235,18,18.72259369981475,0.9246575342465754,0.8687599544970649,0.8724759836475382,0.8704674347409445,0.9252909320537714,0.9246575342465754,0.9248571220557033
1,AdaBoost,0.9235,18,16.882615600014105,0.9195205479452054,0.8950262973553211,0.8808819263103465,0.8876268734263881,0.9205494526602348,0.9195205479452054,0.9199062249094652
2,AdaBoost,0.9235,18,16.313224999932572,0.9212328767123288,0.8759995575132852,0.8604634185271438,0.8667289419523868,0.9199132163243332,0.9212328767123288,0.9198855175579488
3,AdaBoost,0.9235,18,20.547431299928576,0.9246575342465754,0.8652717492994955,0.8687646492496486,0.8665009340942703,0.9248390123817556,0.9246575342465754,0.9244812795649268
4,AdaBoost,0.9235,18,15.741741300094873,0.9306506849315068,0.8732586649312006,0.8708480890632782,0.865917301252012,0.9274364025878534,0.9306506849315068,0.9267749902280314
