classifier,fbg,tp,fp,fn,tn,precision,recall,f1,support_pos,error_rate
kNN,0,393,21,23,5403,0.9492753623188406,0.9447115384615384,0.946987951807229,416,0.007534246575342466
kNN,1,1314,70,104,4352,0.9494219653179191,0.926657263751763,0.9379014989293363,1418,0.029794520547945205
kNN,2,3091,14,2,2733,0.9954911433172303,0.9993533785968316,0.9974185221039046,3093,0.0027397260273972603
kNN,3,3135,2,29,2674,0.9993624481989162,0.9908343868520859,0.99508014600857,3164,0.005308219178082192
kNN,4,3924,65,23,1828,0.9837051892704939,0.9941727894603496,0.9889112903225807,3947,0.015068493150684932
kNN,5,3315,105,70,2350,0.9692982456140351,0.9793205317577548,0.9742836149889788,3385,0.029965753424657533
kNN,6,1746,30,162,3902,0.9831081081081081,0.9150943396226415,0.9478827361563518,1908,0.03287671232876712
kNN,7,2358,46,22,3414,0.980865224625624,0.9907563025210084,0.9857859531772575,2380,0.011643835616438357
kNN,8,1354,2,42,4442,0.9985250737463127,0.9699140401146131,0.9840116279069768,1396,0.007534246575342466
kNN,9,1036,0,1,4803,1.0,0.9990356798457087,0.9995176073323685,1037,0.00017123287671232877
kNN,10,811,148,28,4853,0.8456725755995829,0.966626936829559,0.9021134593993326,839,0.030136986301369864
kNN,11,279,20,17,5524,0.9331103678929766,0.9425675675675675,0.9378151260504203,296,0.006335616438356164
kNN,12,81,0,0,5759,1.0,1.0,1.0,81,0.0
SVM,0,403,11,13,5413,0.9734299516908212,0.96875,0.9710843373493976,416,0.00410958904109589
SVM,1,1368,51,50,4371,0.9640591966173362,0.9647390691114246,0.9643990130419458,1418,0.017294520547945204
SVM,2,3092,11,1,2736,0.9964550435062842,0.9996766892984158,0.9980632666236281,3093,0.002054794520547945
SVM,3,3147,1,17,2675,0.9996823379923762,0.9946270543615676,0.9971482889733839,3164,0.0030821917808219177
SVM,4,3934,51,13,1842,0.9872020075282308,0.9967063592601976,0.9919314170448814,3947,0.010958904109589041
SVM,5,3334,51,51,2404,0.9849335302806499,0.9849335302806499,0.9849335302806499,3385,0.017465753424657535
SVM,6,1743,10,165,3922,0.9942954934398175,0.9135220125786163,0.9521988527724664,1908,0.029965753424657533
SVM,7,2366,26,14,3434,0.9891304347826086,0.9941176470588236,0.9916177703269069,2380,0.00684931506849315
SVM,8,1358,2,38,4442,0.9985294117647059,0.9727793696275072,0.9854862119013063,1396,0.00684931506849315
SVM,9,1036,0,1,4803,1.0,0.9990356798457087,0.9995176073323685,1037,0.00017123287671232877
SVM,10,830,154,9,4847,0.8434959349593496,0.9892729439809297,0.9105869445968184,839,0.02791095890410959
SVM,11,287,13,9,5531,0.9566666666666667,0.9695945945945946,0.9630872483221476,296,0.003767123287671233
SVM,12,81,0,0,5759,1.0,1.0,1.0,81,0.0
