File,WaveData20240328_004.csv,
Date/Time,24-03-28/03:59,

Trace,A
Center Wavelength,1550.5,nm
Span Wavelength,101.8,nm
Start Wavelength,1499.6,nm
Stop Wavelength,1601.4,nm
Value In Air/Vacuum,Vacuum,
Optical Attenuater,Off,
Resolution,1.0,nm
Actual Resolution,0.944,nm
VBW,1000,Hz
Point Average,Off,
Sweep Average,1,
Smooth,5,pt
Sampling Points,2001,pt
Trace Type,Fix,
Trace Storage Mode,Off,
Trace Calculate Trace 1,-,
Trace Calculate Trace 2,-,
Dynamic Range,Normal,
Ext-Trigger,Off,
Interval Time,Off,
MM Mode,Off,
Start,1499.6,nm
Stop,1601.4,nm
Trace,B
Center Wavelength,1550.5,nm
Span Wavelength,101.8,nm
Start Wavelength,1499.6,nm
Stop Wavelength,1601.4,nm
Value In Air/Vacuum,Vacuum,
Optical Attenuater,Off,
Resolution,1.0,nm
Actual Resolution,0.944,nm
VBW,200,Hz
Point Average,Off,
Sweep Average,1,
Smooth,5,pt
Sampling Points,2001,pt
Trace Type,Fix,
Trace Storage Mode,Off,
Trace Calculate Trace 1,-,
Trace Calculate Trace 2,-,
Dynamic Range,Normal,
Ext-Trigger,Off,
Interval Time,Off,
MM Mode,Off,
Start,1499.6,nm
Stop,1601.4,nm
Trace,C
Center Wavelength,1550.5,nm
Span Wavelength,101.8,nm
Start Wavelength,1499.6,nm
Stop Wavelength,1601.4,nm
Value In Air/Vacuum,Vacuum,
Optical Attenuater,Off,
Resolution,1.0,nm
Actual Resolution,0.944,nm
VBW,200,Hz
Point Average,Off,
Sweep Average,1,
Smooth,5,pt
Sampling Points,2001,pt
Trace Type,Fix,
Trace Storage Mode,Off,
Trace Calculate Trace 1,-,
Trace Calculate Trace 2,-,
Dynamic Range,Normal,
Ext-Trigger,Off,
Interval Time,Off,
MM Mode,Off,
Start,1499.6,nm
Stop,1601.4,nm
Trace,D
Center Wavelength,1550.5,nm
Span Wavelength,101.8,nm
Start Wavelength,1499.6,nm
Stop Wavelength,1601.4,nm
Value In Air/Vacuum,Vacuum,
Optical Attenuater,Off,
Resolution,1.0,nm
Actual Resolution,0.944,nm
VBW,1000,Hz
Point Average,Off,
Sweep Average,1,
Smooth,5,pt
Sampling Points,2001,pt
Trace Type,Fix,
Trace Storage Mode,Off,
Trace Calculate Trace 1,-,
Trace Calculate Trace 2,-,
Dynamic Range,Normal,
Ext-Trigger,Off,
Interval Time,Off,
MM Mode,Off,
Trace,E
Center Wavelength,1550.5,nm
Span Wavelength,101.8,nm
Start Wavelength,1499.6,nm
Stop Wavelength,1601.4,nm
Value In Air/Vacuum,Vacuum,
Optical Attenuater,Off,
Resolution,1.0,nm
Actual Resolution,0.944,nm
VBW,1000,Hz
Point Average,Off,
Sweep Average,1,
Smooth,5,pt
Sampling Points,2001,pt
Trace Type,Write,
Trace Storage Mode,Off,
Trace Calculate Trace 1,-,
Trace Calculate Trace 2,-,
Dynamic Range,Normal,
Ext-Trigger,Off,
Interval Time,Off,
MM Mode,Off,
Start,1499.6,nm
Stop,1601.4,nm
Trace,F
Center Wavelength,1550.5,nm
Span Wavelength,101.8,nm
Start Wavelength,1499.6,nm
Stop Wavelength,1601.4,nm
Value In Air/Vacuum,Vacuum,
Optical Attenuater,Off,
Resolution,1.0,nm
Actual Resolution,0.944,nm
VBW,1000,Hz
Point Average,Off,
Sweep Average,1,
Smooth,5,pt
Sampling Points,2001,pt
Trace Type,Write,
Trace Storage Mode,Off,
Trace Calculate Trace 1,-,
Trace Calculate Trace 2,-,
Dynamic Range,Normal,
Ext-Trigger,Off,
Interval Time,Off,
MM Mode,Off,
Start,1499.6,nm
Stop,1601.4,nm
Trace,G
Center Wavelength,1554.89,nm
Span Wavelength,100,nm
Start Wavelength,1504.89,nm
Stop Wavelength,1604.89,nm
Value In Air/Vacuum,Vacuum,
Optical Attenuater,Off,
Resolution,1.0,nm
Actual Resolution,0.941,nm
VBW,1000,Hz
Point Average,Off,
Sweep Average,1,
Smooth,5,pt
Sampling Points,2001,pt
Trace Type,Fix,
Trace Storage Mode,Off,
Trace Calculate Trace 1,-,
Trace Calculate Trace 2,-,
Dynamic Range,Normal,
Ext-Trigger,Off,
Interval Time,Off,
MM Mode,Off,
Trace,H
Center Wavelength,1554.89,nm
Span Wavelength,100,nm
Start Wavelength,1504.89,nm
Stop Wavelength,1604.89,nm
Value In Air/Vacuum,Vacuum,
Optical Attenuater,Off,
Resolution,1.0,nm
Actual Resolution,0.941,nm
VBW,1000,Hz
Point Average,Off,
Sweep Average,1,
Smooth,5,pt
Sampling Points,2001,pt
Trace Type,Fix,
Trace Storage Mode,Off,
Trace Calculate Trace 1,-,
Trace Calculate Trace 2,-,
Dynamic Range,Normal,
Ext-Trigger,Off,
Interval Time,Off,
MM Mode,Off,

Wavelength(A),Level(A),Wavelength(B),Level(B),Wavelength(C),Level(C),Wavelength(E),Level(E),Wavelength(F),Level(F)
1499.600000,-1.9420E-009,1499.600000,6.3880E-006,1499.600000,-9.9920E-010,1499.600000,6.1690E-009,1499.600000,6.1690E-009
1499.650900,7.7160E-009,1499.650900,6.4300E-006,1499.650900,-4.4440E-010,1499.650900,1.8730E-008,1499.650900,1.8730E-008
1499.701800,-1.4460E-009,1499.701800,6.4930E-006,1499.701800,-7.8260E-010,1499.701800,5.1630E-009,1499.701800,5.1630E-009
1499.752700,2.1450E-010,1499.752700,6.5530E-006,1499.752700,-8.0730E-010,1499.752700,4.7450E-010,1499.752700,4.7450E-010
1499.803600,1.9200E-009,1499.803600,6.6150E-006,1499.803600,2.0770E-009,1499.803600,2.5610E-008,1499.803600,2.5610E-008
1499.854500,1.5320E-008,1499.854500,6.6790E-006,1499.854500,3.1070E-009,1499.854500,-2.7790E-009,1499.854500,-2.7790E-009
1499.905400,-2.2360E-009,1499.905400,6.7220E-006,1499.905400,1.4620E-009,1499.905400,-1.0190E-008,1499.905400,-1.0190E-008
1499.956300,-2.0210E-009,1499.956300,6.7930E-006,1499.956300,-9.6720E-010,1499.956300,1.8890E-008,1499.956300,1.8890E-008
1500.007200,-3.6930E-009,1500.007200,6.8360E-006,1500.007200,-4.0100E-009,1500.007200,1.5410E-008,1500.007200,1.5410E-008
1500.058100,2.0890E-009,1500.058100,6.9050E-006,1500.058100,1.0310E-011,1500.058100,1.8480E-008,1500.058100,1.8480E-008
1500.109000,1.2320E-008,1500.109000,6.9700E-006,1500.109000,-4.6400E-011,1500.109000,-9.4680E-009,1500.109000,-9.4680E-009
1500.159900,-1.1850E-009,1500.159900,7.0250E-006,1500.159900,-3.3890E-009,1500.159900,1.2740E-008,1500.159900,1.2740E-008
1500.210800,-9.1170E-009,1500.210800,7.0860E-006,1500.210800,8.0430E-011,1500.210800,-3.7280E-009,1500.210800,-3.7280E-009
1500.261700,1.1340E-008,1500.261700,7.1640E-006,1500.261700,3.3710E-009,1500.261700,1.3140E-008,1500.261700,1.3140E-008
1500.312600,1.5750E-008,1500.312600,7.2170E-006,1500.312600,-5.6100E-009,1500.312600,5.6030E-009,1500.312600,5.6030E-009
1500.363500,5.0270E-009,1500.363500,7.2830E-006,1500.363500,1.3090E-009,1500.363500,-2.6090E-009,1500.363500,-2.6090E-009
1500.414400,-2.4060E-009,1500.414400,7.3380E-006,1500.414400,-9.6930E-011,1500.414400,-1.3390E-008,1500.414400,-1.3390E-008
1500.465300,-1.1920E-008,1500.465300,7.4190E-006,1500.465300,-3.4640E-010,1500.465300,-1.8970E-009,1500.465300,-1.8970E-009
1500.516200,5.4460E-009,1500.516200,7.4680E-006,1500.516200,-1.7810E-009,1500.516200,9.0040E-009,1500.516200,9.0040E-009
1500.567100,-1.6100E-008,1500.567100,7.5570E-006,1500.567100,-4.6400E-011,1500.567100,4.6650E-009,1500.567100,4.6650E-009
1500.618000,-1.9650E-009,1500.618000,7.6120E-006,1500.618000,-1.2710E-009,1500.618000,3.3950E-008,1500.618000,3.3950E-008
1500.668900,6.6990E-009,1500.668900,7.6910E-006,1500.668900,4.1440E-009,1500.668900,4.2250E-009,1500.668900,4.2250E-009
1500.719800,4.2810E-009,1500.719800,7.7530E-006,1500.719800,2.2890E-010,1500.719800,1.8390E-008,1500.719800,1.8390E-008
1500.770700,1.1370E-008,1500.770700,7.8170E-006,1500.770700,-2.8030E-009,1500.770700,8.3600E-010,1500.770700,8.3600E-010
1500.821600,2.1340E-008,1500.821600,7.8830E-006,1500.821600,3.0930E-010,1500.821600,1.3300E-008,1500.821600,1.3300E-008
1500.872500,5.4510E-009,1500.872500,7.9610E-006,1500.872500,4.6490E-009,1500.872500,-9.2660E-009,1500.872500,-9.2660E-009
1500.923400,-2.0760E-009,1500.923400,8.0120E-006,1500.923400,7.2720E-010,1500.923400,5.7560E-010,1500.923400,5.7560E-010
1500.974300,6.6360E-009,1500.974300,8.0930E-006,1500.974300,3.6390E-009,1500.974300,1.7460E-008,1500.974300,1.7460E-008
1501.025200,1.0650E-008,1501.025200,8.1610E-006,1501.025200,-8.2410E-012,1501.025200,1.9970E-008,1501.025200,1.9970E-008
1501.076100,3.4190E-009,1501.076100,8.2340E-006,1501.076100,8.0760E-010,1501.076100,8.1820E-009,1501.076100,8.1820E-009
1501.127000,-1.0800E-008,1501.127000,8.2900E-006,1501.127000,1.3370E-008,1501.127000,2.2860E-008,1501.127000,2.2860E-008
1501.177900,7.4150E-009,1501.177900,8.3720E-006,1501.177900,-1.5860E-009,1501.177900,1.5710E-008,1501.177900,1.5710E-008
1501.228800,-8.0360E-009,1501.228800,8.4430E-006,1501.228800,-7.9530E-010,1501.228800,5.2370E-009,1501.228800,5.2370E-009
1501.279700,2.4330E-008,1501.279700,8.5140E-006,1501.279700,9.0860E-010,1501.279700,1.3350E-008,1501.279700,1.3350E-008
1501.330600,6.0490E-009,1501.330600,8.5900E-006,1501.330600,4.7390E-009,1501.330600,6.6580E-009,1501.330600,6.6580E-009
1501.381500,1.7880E-008,1501.381500,8.6620E-006,1501.381500,1.9100E-009,1501.381500,-1.4160E-008,1501.381500,-1.4160E-008
1501.432400,1.4340E-008,1501.432400,8.7420E-006,1501.432400,-5.2750E-009,1501.432400,1.0780E-008,1501.432400,1.0780E-008
1501.483300,-8.8820E-009,1501.483300,8.8030E-006,1501.483300,3.9860E-010,1501.483300,1.6250E-008,1501.483300,1.6250E-008
1501.534200,6.3540E-009,1501.534200,8.8830E-006,1501.534200,6.1290E-010,1501.534200,1.6420E-008,1501.534200,1.6420E-008
1501.585100,-4.6040E-009,1501.585100,8.9630E-006,1501.585100,4.1380E-009,1501.585100,-9.7060E-009,1501.585100,-9.7060E-009
1501.636000,5.7670E-009,1501.636000,9.0390E-006,1501.636000,9.6010E-010,1501.636000,1.8170E-008,1501.636000,1.8170E-008
1501.686900,-1.8820E-008,1501.686900,9.1080E-006,1501.686900,2.7680E-009,1501.686900,3.8950E-008,1501.686900,3.8950E-008
1501.737800,-9.0300E-011,1501.737800,9.1930E-006,1501.737800,2.5640E-010,1501.737800,2.7640E-009,1501.737800,2.7640E-009
1501.788700,2.7970E-008,1501.788700,9.2660E-006,1501.788700,2.2900E-009,1501.788700,9.6500E-009,1501.788700,9.6500E-009
1501.839600,-7.2120E-009,1501.839600,9.3480E-006,1501.839600,5.0990E-010,1501.839600,-3.0690E-008,1501.839600,-3.0690E-008
1501.890500,2.4940E-009,1501.890500,9.4310E-006,1501.890500,-3.8520E-009,1501.890500,-1.0580E-008,1501.890500,-1.0580E-008
1501.941400,1.8050E-009,1501.941400,9.5100E-006,1501.941400,1.1990E-009,1501.941400,2.5270E-009,1501.941400,2.5270E-009
1501.992300,3.1030E-009,1501.992300,9.5920E-006,1501.992300,2.8000E-009,1501.992300,9.2550E-009,1501.992300,9.2550E-009
1502.043200,4.1530E-009,1502.043200,9.6720E-006,1502.043200,6.2800E-009,1502.043200,6.1060E-009,1502.043200,6.1060E-009
1502.094100,1.2540E-008,1502.094100,9.7420E-006,1502.094100,1.2080E-009,1502.094100,1.5910E-009,1502.094100,1.5910E-009
1502.145000,9.5820E-009,1502.145000,9.8290E-006,1502.145000,-1.1430E-010,1502.145000,-7.7090E-009,1502.145000,-7.7090E-009
1502.195900,-5.2710E-009,1502.195900,9.9090E-006,1502.195900,-7.9010E-010,1502.195900,-8.5780E-009,1502.195900,-8.5780E-009
1502.246800,1.7390E-008,1502.246800,9.9920E-006,1502.246800,-2.7900E-010,1502.246800,1.8560E-008,1502.246800,1.8560E-008
1502.297700,-7.0420E-009,1502.297700,1.0070E-005,1502.297700,1.1110E-009,1502.297700,1.1510E-009,1502.297700,1.1510E-009
1502.348600,1.7590E-008,1502.348600,1.0150E-005,1502.348600,4.2200E-009,1502.348600,-6.9980E-010,1502.348600,-6.9980E-010
1502.399500,1.5380E-008,1502.399500,1.0240E-005,1502.399500,-3.4550E-009,1502.399500,1.9050E-008,1502.399500,1.9050E-008
1502.450400,4.2100E-009,1502.450400,1.0320E-005,1502.450400,6.7880E-010,1502.450400,1.0620E-008,1502.450400,1.0620E-008
1502.501300,-8.7470E-009,1502.501300,1.0400E-005,1502.501300,1.3400E-009,1502.501300,-3.1940E-009,1502.501300,-3.1940E-009
1502.552200,-1.4240E-008,1502.552200,1.0480E-005,1502.552200,7.8290E-011,1502.552200,2.7760E-009,1502.552200,2.7760E-009
1502.603100,5.0450E-009,1502.603100,1.0560E-005,1502.603100,2.1700E-009,1502.603100,8.9840E-009,1502.603100,8.9840E-009
1502.654000,-9.9430E-009,1502.654000,1.0650E-005,1502.654000,1.4950E-009,1502.654000,1.0340E-008,1502.654000,1.0340E-008
1502.704900,2.3130E-009,1502.704900,1.0730E-005,1502.704900,3.3830E-009,1502.704900,3.0460E-010,1502.704900,3.0460E-010
1502.755800,3.3740E-009,1502.755800,1.0820E-005,1502.755800,2.6310E-009,1502.755800,2.4750E-008,1502.755800,2.4750E-008
